id;created_at;text;retweet_count;favorite_count,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1333185099555287048;2020-11-29 23:04:31;RT @CarlosBolsonaro: A @PRFBrasil conclui  mais uma fase da maior operação de combate ao crime organizado: a Tamoio VIII. Os resultados da…;2080;0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1333026946482118657;2020-11-29 12:36:05;B. O trabalho do @govbr nas políticas públicas de educação no país é para que se abram horizontes para exercício efetivo de retorno à população.Saiba mais: https://t.co/6TC8ayi6Ki;1017;8578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1333026504121397250;2020-11-29 12:34:19;A. O @inep_oficial divulgou dados do Censo da Educação Superior 2019,os quais revelam um aumento de 11,5% nas matrículas em cursos tecnológicos,que concentram 14,2% do total de estudantes matriculados na graduação no Brasil.;2784;22831,,,,,,,,,,,,,,,,,,,,,,,,,,
1332812272155156483;2020-11-28 22:23:02;@govbr @inep_oficial @MEC_Comunicacao @mctic 🤝🇧🇷;126;2826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1332774440652910595;2020-11-28 19:52:43;@policiafederal 🇧🇷;162;3691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1332773287773032453;2020-11-28 19:48:08;@CarlosBolsonaro @govbr @minsaude @mincomunicacoes 🇧🇷;177;4373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1332772987473424388;2020-11-28 19:46:56;RT @secomvc: O Governo Federal trabalha para ser o governo do Brasil,PARA O BRASIL,beneficiando todos os brasileiros. Em 2019,o valor re…;747;0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1332683408531746817;2020-11-28 13:50:59;RT @CarlosNadalim: O Governo Federal,por meio do @MEC_Comunicacao,lançou hoje o GraphoGame,aplicativo finlandês de apoio à alfabetização…;1381;0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1332647791848460289;2020-11-28 11:29:27;RT @CarlosBolsonaro: O Ministério da Ciência,Tecnologia e Inovações (@mctic ) e o Instituto Smithsonian,dos EUA,assinaram um novo acordo…;1163;0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1332646193181155329;2020-11-28 11:23:06;- Ontem estive em Guaratinguetá/SP.- Formatura na Escola de Especialistas da Aeronáutica/EEAer.. No YouTube: https://t.co/nDrc0hGDzz. @fab_oficial https://t.co/XIHEL4AjXv;2206;19202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1332431130910461952;2020-11-27 21:08:31;@fabiofaria5555 🤝;99;1922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1332430999293145090;2020-11-27 21:08:00;@tarcisiogdf 🤝,Ministro!;205;6429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1332371530068713473;2020-11-27 17:11:41;""RT @secomvc: ⚠️ O Presidente @jairbolsonaro avisou desde o início que eram dois os problemas. Muitos preferiram ignorar; nós",porém,"trabal…"";2469;0",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1332364653784141825;2020-11-27 16:44:22;RT @Marceloscf2: Bom dia! Pelo 4º mês consecutivo,o Porto de Itajaí tem alta na geração de empregos. Entre junho e setembro de 2020,cerca…;891;0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1332363691778600962;2020-11-27 16:40:32;- As  Mulheres na Força Aérea Brasileira atuam como Aviadoras,Intendentes,Controladoras de Tráfego Aéreo,Musicistas,Paraquedistas,Médicas,Advogadas,entre outros quadros e atividades.- Saiba mais sobre a presença feminina na @fab_oficial . Acesse https://t.co/AsTXVQV8V0. https://t.co/wG9MpcTICs;2452;18155,,,,,,,,,,,,,,,,,,,,,,,
